compound,flat_state
Br2 Li1 Si1,0
Br2 Cl1 Os1,1
Br2 In1 Na1,1
B2 Si1 W1,0
As2 Mn1 Ru1,1
Mn2 Sn1 Te1,1
Bi2 Li1 Pb1,1
Se2 Sr1 W1,1
Ga2 Hg1 Pb1,1
Li2 Nb1 Pb1,1
As2 B1 Br1,1
Ca2 Co1 Sr1,0
Bi2 In1 K1,1
As2 Co1 Pb1,1
Co2 Ga1 Ru1,1
Au2 Na1 Si1,1
Ga2 Ir1 K1,1
B2 Mo1 Ru1,0
B2 Ga1 Ge1,1
Au2 Pt1 Sr1,0
Mn2 Sb1 Tc1,0
Fe2 Pb1 Re1,1
Al2 Hg1 Li1,1
Br2 Cl1 Pd1,0
Au2 Br1 Zr1,1
Bi2 In1 Ti1,1
Ga2 Ni1 Te1,1
Cd2 In1 Na1,0
As2 Se1 Si1,1
Br2 Ta1 Te1,1
Br2 Mg1 Si1,1
As2 Be1 Mn1,1
Be2 Ge1 Ni1,1
Be2 Cl1 Hg1,0
Os2 Sb1 Zn1,1
Ir2 K1 Zr1,0
Hf2 Na1 Sr1,0
Ba2 Cu1 Na1,1
Ba2 In1 Mo1,1
Br2 Nb1 Pb1,1
Ge2 Hg1 Li1,0
Ca2 Pb1 V1,0
Bi2 Ga1 Ti1,1
Cd2 Cl1 Ta1,0
Ge2 Mo1 Pd1,1
Br2 Mo1 Zr1,1
Hf2 Na1 Tc1,1
As2 Sn1 Sr1,0
B2 Cu1 Pb1,1
Bi2 Pt1 Ti1,1
Hg2 Mo1 Ru1,1
In2 P1 Pt1,1
Br2 Se1 V1,0
Ba2 Nb1 Ta1,0
Al2 Sn1 Te1,1
Al2 Hf1 P1,1
Ge2 Tc1 W1,1
Ba2 Cr1 V1,1
Ge2 Mo1 W1,1
Ba2 Bi1 Ta1,0
Al2 Bi1 Pt1,1
Ba2 Cl1 Ir1,0
Li2 Mn1 Tc1,0
Al2 Ti1 Zn1,1
Al2 Mn1 Os1,1
In2 Pd1 Si1,1
K2 Li1 P1,1
Co2 K1 Pt1,0
Ba2 Hg1 Sr1,1
K2 Mo1 Si1,1
Mg2 Na1 Ta1,0
Mg2 Na1 W1,0
Al2 Mg1 Ta1,1
K2 Pt1 Zn1,1
Br2 Ni1 Se1,0
Li2 Re1 Sr1,1
Co2 Ga1 Sr1,0
Au2 Fe1 Na1,0
Cl2 Mn1 Re1,1
Cr2 Os1 Si1,1
As2 Mn1 Pd1,1
Br2 Se1 Te1,0
Br2 Cu1 Zn1,0
Mg2 Sn1 V1,1
Mg2 Tl1 Zn1,0
Mg2 Se1 Ti1,0
As2 Br1 Mo1,1
B2 Cl1 Zn1,0
Ba2 Cd1 Ti1,1
B2 Mo1 Si1,0
Br2 Cd1 Mo1,0
Bi2 Br1 Cl1,1
Ba2 Mn1 Te1,0
Ni2 P1 Sb1,0
Al2 W1 Zr1,1
As2 Au1 Bi1,1
Ag2 P1 Tl1,1
Ba2 Bi1 Li1,0
Cu2 Mg1 Na1,0
Al2 Br1 Ir1,1
Ca2 Cu1 Ir1,0
Hf2 Hg1 Tl1,1
Al2 B1 Cl1,1
Ga2 Ge1 Nb1,1
Cd2 Pb1 Pd1,0
Ca2 Mn1 Sb1,0
Hg2 Sn1 W1,0
Br2 Cr1 Se1,0
Ca2 Se1 Tc1,0
Cl2 K1 Ni1,0
Ca2 Ta1 Zr1,0
Cr2 K1 P1,0
As2 Ga1 W1,1
Sb2 Tl1 W1,1
Cr2 Pt1 W1,1
Os2 Pd1 Pt1,1
Co2 Fe1 Tl1,1
Hf2 Ni1 Sr1,1
Be2 Bi1 Sb1,1
Ca2 Mg1 Mn1,1
Li2 Nb1 Re1,1
Bi2 Re1 Ru1,0
Fe2 Ge1 Tl1,1
Ni2 Pt1 Sr1,1
Ge2 K1 Nb1,1
Ba2 Ca1 W1,0
K2 Sb1 W1,1
In2 Ru1 Se1,1
Bi2 Ca1 Nb1,1
Hg2 Mn1 Re1,1
Hg2 In1 Ni1,1
Ga2 K1 Mn1,0
Ga2 Hg1 Zr1,1
As2 Bi1 Ge1,1
Be2 Cd1 Co1,0
Ir2 Pt1 Tl1,1
Al2 Au1 Cr1,1
Mn2 Se1 Tc1,1
Bi2 V1 Zr1,1
As2 Rh1 Zr1,1
Ba2 Cu1 Rh1,0
As2 Ge1 Ni1,1
P2 Sn1 Ta1,1
Ge2 Se1 Te1,1
K2 Li1 Ta1,1
Br2 Pb1 Re1,1
Br2 Cr1 Na1,0
Br2 Na1 Se1,1
Al2 Mn1 W1,1
Al2 Hg1 K1,0
As2 Au1 Pb1,1
Ca2 K1 Ta1,1
Cl2 Tl1 Zr1,1
Cu2 Ge1 Hf1,1
Pb2 Pd1 W1,1
In2 Na1 Se1,0
Cr2 In1 Te1,1
B2 Sb1 Ta1,1
Os2 Sn1 Sr1,1
B2 Rh1 Tc1,1
Bi2 Hg1 Ru1,1
Hg2 Ir1 Sn1,1
As2 Ba1 Cd1,0
Li2 Se1 Sn1,0
Ba2 K1 Zn1,1
Pb2 Rh1 Ta1,1
Br2 Ru1 Zr1,1
Cr2 Mo1 Tl1,1
Be2 Ti1 W1,1
Au2 Ba1 Be1,0
Co2 Rh1 Te1,1
Ca2 Mn1 Zn1,1
Ca2 Pd1 Ti1,0
As2 Pb1 Pt1,1
B2 Cu1 Sb1,1
B2 W1 Zr1,1
Hg2 Os1 Ti1,1
Ir2 Mn1 Zn1,1
Bi2 Ru1 Zn1,1
Ba2 Bi1 Na1,0
Al2 Ir1 Pt1,0
Cr2 In1 Mg1,1
Be2 Cu1 Ni1,1
Be2 Cd1 Ge1,1
B2 Cu1 Mo1,0
As2 Ga1 Hg1,1
Cd2 Li1 Si1,0
Ca2 Cu1 Mg1,0
Ag2 Se1 Te1,0
Ag2 Ge1 Se1,1
Na2 Pd1 V1,1
Be2 Cd1 Ni1,1
Mn2 Tc1 W1,1
Cu2 Ge1 P1,1
Al2 Te1 Zn1,1
Mo2 Ni1 Si1,1
Br2 Fe1 Te1,1
Cl2 P1 Si1,1
Ir2 K1 P1,1
K2 Tc1 Tl1,1
Cu2 Mn1 V1,1
Be2 Pb1 Re1,1
Au2 Li1 Pt1,0
In2 Sr1 Te1,1
B2 Sn1 Tc1,1
Cd2 Cl1 V1,1
Hg2 Pb1 V1,0
As2 Ga1 Re1,1
Ge2 Mg1 Ta1,1
Al2 B1 Tc1,1
Cu2 Na1 Ta1,1
Al2 Cl1 Hg1,0
Ca2 Sn1 Sr1,0
Hf2 K1 Se1,1
B2 Bi1 Zr1,1
Al2 Se1 Zn1,1
As2 Ba1 Bi1,0
Cd2 Tl1 Zr1,0
As2 Ni1 Pb1,1
Al2 Pd1 Ti1,1
Pt2 Te1 Tl1,1
Si2 Tc1 Zr1,1
In2 Ti1 Zr1,1
Ca2 Hf1 Mn1,0
Ge2 Tc1 Tl1,1
Ga2 Ru1 Te1,1
Ca2 Ga1 Rh1,0
Bi2 Nb1 Zr1,1
Be2 In1 Ti1,1
Be2 Mg1 Si1,1
Cr2 Ge1 Pt1,1
Be2 Ge1 Pb1,1
In2 Mo1 Tl1,1
Hg2 Mo1 Sr1,0
Al2 As1 Pb1,1
Al2 Ba1 Si1,1
Li2 Se1 Te1,0
Ca2 Ti1 V1,0
Au2 Hg1 Na1,0
Ir2 Li1 P1,0
In2 Se1 Si1,1
Pt2 Ti1 V1,1
Hf2 Na1 Te1,1
Ba2 Fe1 Sn1,1
Be2 Bi1 Sn1,1
B2 Mo1 W1,1
Nb2 P1 Ru1,0
Br2 Co1 Ti1,1
As2 Ga1 V1,1
Mo2 Si1 Sr1,1
Al2 Be1 Mg1,1
Ta2 Tl1 Zn1,1
In2 Se1 W1,1
K2 Mg1 P1,1
Ag2 K1 Se1,1
Co2 Fe1 W1,1
Br2 Li1 P1,0
Br2 Sr1 Ta1,0
Hg2 Ru1 W1,1
Al2 Na1 Ru1,1
In2 Si1 Ta1,1
Na2 Zn1 Zr1,1
Al2 Hg1 Os1,1
B2 Rh1 Ta1,1
Au2 P1 Sb1,1
Bi2 Fe1 Zn1,1
Hg2 Ru1 Sb1,1
B2 V1 W1,1
Fe2 Hg1 Na1,0
Ba2 Nb1 Pb1,0
Ba2 Mn1 Zr1,1
Ca2 Hg1 Pb1,0
K2 P1 Sb1,1
Ga2 In1 Ti1,1
Li2 Mg1 Ti1,1
As2 Au1 Na1,0
B2 Hf1 V1,1
Cd2 Hf1 Rh1,0
Ca2 Cl1 Ge1,0
Ca2 Ir1 Na1,0
Ca2 Cu1 Nb1,0
Al2 Hg1 Sb1,1
Cu2 Tl1 W1,1
As2 Mn1 Si1,1
Mn2 Ni1 Tl1,1
Ge2 Hg1 Pt1,1
P2 Se1 Ta1,1
K2 Li1 Se1,1
Cu2 Ru1 Tc1,1
Cl2 Fe1 Sn1,1
Li2 Mo1 Re1,0
Cu2 Pb1 Sb1,1
Bi2 K1 Re1,1
Hf2 V1 Zr1,0
Au2 Mn1 Pb1,1
Ge2 Pt1 Sb1,1
Ca2 Ga1 Na1,0
Ca2 Se1 Sr1,0
K2 Ru1 Zn1,1
Co2 Na1 Pb1,1
Hg2 Ni1 Zn1,0
Ag2 Ca1 Ti1,0
Co2 Cr1 Zr1,1
Be2 Co1 W1,1
Co2 Sn1 Zn1,1
B2 Li1 Mo1,1
Cu2 Fe1 V1,1
Hf2 Pt1 Rh1,1
Al2 Sn1 Tc1,1
Ga2 Pt1 W1,1
Co2 P1 W1,1
Fe2 Li1 Sb1,1
Li2 Os1 Zr1,0
Ir2 Mg1 Zr1,1
Hf2 Ir1 Pd1,1
Br2 Ir1 Pb1,1
Li2 Ru1 Tc1,0
Mo2 Se1 Sn1,1
Ca2 Ga1 Ge1,0
Mo2 Pd1 Si1,1
Ag2 Ga1 Zr1,1
Hf2 Ir1 Mg1,1
Ag2 K1 Rh1,1
Fe2 Mo1 Ti1,1
Ag2 In1 Re1,1
As2 Be1 Ni1,1
Cu2 Mo1 Se1,1
Ge2 Li1 Te1,1
B2 Re1 Se1,1
As2 K1 Li1,1
Ge2 Li1 Re1,1
Pd2 Rh1 Tc1,1
Be2 Mg1 Os1,1
Cd2 Co1 Li1,0
Au2 Ga1 Os1,1
As2 Mn1 Zn1,1
B2 Ge1 Mn1,0
Ba2 Ca1 P1,0
Sn2 Sr1 Te1,0
Fe2 Hf1 Rh1,1
Cr2 Tl1 V1,1
Nb2 Os1 Si1,0
Cd2 Re1 Si1,1
B2 Be1 Ru1,1
Be2 Fe1 Li1,0
Cd2 Sr1 Ti1,0
Hf2 Pd1 Sn1,1
Ba2 Ge1 Os1,0
Nb2 Sn1 Ta1,0
Cr2 In1 Ir1,1
Pd2 Se1 Ti1,1
Br2 Cr1 Li1,0
In2 Ir1 Na1,1
B2 Mn1 Rh1,1
Ir2 Se1 V1,1
Sb2 Se1 Sr1,1
Bi2 Ca1 Sr1,0
Fe2 Hf1 Nb1,1
Br2 Ca1 Ru1,1
As2 Cu1 Mg1,1
Nb2 Pt1 Ru1,0
Os2 Pt1 V1,1
Ag2 Ca1 Re1,0
Au2 P1 Re1,1
Au2 Hf1 Zn1,1
Pt2 Ta1 Zr1,1
Cd2 Na1 Tl1,0
Au2 Ta1 W1,1
Na2 Pb1 Sr1,0
Br2 Ge1 Sn1,1
Cd2 Sn1 Tc1,0
Be2 Li1 Sr1,1
Bi2 Ir1 Sr1,1
Hg2 Mo1 Ti1,1
Ba2 Pb1 Pd1,0
K2 Mn1 Os1,1
Ca2 Cl1 P1,0
Cd2 Ru1 V1,0
Ca2 Fe1 Pd1,0
Mo2 Os1 Zr1,1
Be2 Pt1 Sr1,0
Ag2 Pd1 Tc1,0
Co2 Nb1 Zn1,1
P2 Se1 V1,1
Na2 Si1 Sn1,0
Al2 Mn1 Tc1,1
Ca2 Na1 Zr1,1
Ge2 Si1 Sn1,1
Be2 Mn1 Sn1,1
Rh2 Tc1 Zr1,1
Al2 Ba1 Mg1,0
Be2 Mn1 Tl1,1
Al2 Br1 Mn1,1
Cu2 Mo1 Zn1,1
Cr2 Mn1 Ti1,1
Cu2 Na1 Nb1,1
Os2 Si1 Ti1,0
Ba2 Cu1 Mg1,1
Cu2 Se1 Zr1,1
Mg2 Os1 Tl1,1
Pt2 Tl1 W1,1
Au2 Br1 K1,1
Ca2 Ga1 Ir1,1
Au2 Li1 Ti1,0
As2 Pb1 Ti1,1
Nb2 Ni1 Ti1,0
Ca2 Mo1 P1,0
Cd2 Pt1 Sb1,1
Hf2 Sn1 Tc1,1
Cl2 K1 Tc1,0
Cl2 Ge1 K1,0
Co2 Nb1 Pt1,1
Ba2 Sb1 Ti1,0
Nb2 Ni1 Re1,0
Nb2 Pd1 V1,1
Os2 Zn1 Zr1,1
Ir2 Mg1 Sb1,0
Cr2 Pb1 Zr1,1
P2 Rh1 Tc1,0
Ge2 In1 Zn1,1
Li2 Nb1 Ti1,0
Ag2 Au1 Ni1,0
Mo2 Sb1 Ta1,1
Al2 Be1 Zn1,1
Hg2 K1 Mo1,1
Au2 Ni1 Rh1,1
As2 Fe1 Na1,1
Cl2 Sr1 Zn1,1
Si2 Tc1 Te1,0
Pb2 Sb1 Ta1,1
Ba2 Bi1 Zr1,0
Mg2 P1 Ru1,1
Li2 Mg1 Si1,0
B2 Mg1 Na1,0
Ag2 Cd1 Zr1,0
Ba2 Co1 Ni1,0
B2 Be1 Re1,1
In2 Ir1 W1,0
As2 Ca1 Sn1,0
Au2 Mg1 Mn1,1
Cd2 Cl1 Ru1,0
B2 Mg1 Tc1,1
Cl2 Mo1 Te1,1
Al2 Ni1 Re1,1
Ba2 K1 Sb1,0
Pt2 Se1 Tc1,1
Ni2 Rh1 Ta1,1
Cd2 Cr1 Cu1,0
Ag2 Ca1 Te1,0
Al2 Cu1 Pt1,1
Cr2 Pd1 W1,1
Br2 Ta1 Tl1,1
Hf2 Ir1 Mn1,1
Au2 Tc1 Tl1,1
As2 Sn1 Te1,1
Ag2 Mg1 W1,0
Mn2 P1 Zr1,1
Hg2 Re1 Zn1,0
Al2 Bi1 Se1,1
Be2 Ga1 Si1,1
Au2 Pt1 Tc1,1
Cl2 In1 K1,1
Bi2 Cd1 Ta1,1
Cu2 Ir1 Li1,1
Ga2 In1 Sr1,1
Ga2 Hf1 Pd1,1
Ag2 Bi1 W1,1
Mo2 Se1 Tl1,1
As2 Ge1 Pt1,1
Cd2 Ga1 Ru1,1
B2 Ir1 Si1,0
Cr2 Hf1 W1,1
Ca2 Sr1 Ta1,1
As2 Rh1 Se1,1
Br2 In1 Tc1,1
Re2 Si1 W1,1
Cu2 Ga1 Zn1,1
B2 Se1 Sn1,1
Mn2 Sn1 Tc1,1
Ba2 Se1 W1,0
Al2 Nb1 Pb1,1
Al2 As1 Ti1,1
Ba2 Br1 Co1,0
Be2 Ca1 Cr1,0
Br2 Pd1 Sb1,1
Ir2 Mn1 Tl1,1
Be2 K1 Tl1,0
Au2 Br1 Re1,1
Ag2 K1 Mo1,1
Au2 Hf1 Ta1,1
Cd2 Hf1 Sn1,0
K2 Li1 Ni1,1
Cu2 Pt1 Tc1,1
Au2 Sb1 Tc1,1
Cu2 Mg1 V1,1
Cr2 Ni1 Te1,0
Cu2 Sn1 Te1,1
Be2 Rh1 Sn1,1
Cd2 Mo1 Sn1,0
Ag2 Fe1 P1,1
Os2 Re1 Ta1,1
Cl2 Mg1 Tl1,0
Ag2 Br1 Zr1,0
Ir2 Pt1 V1,1
Ca2 Cd1 Te1,0
Br2 Pt1 Sn1,0
Ag2 Bi1 Se1,1
Al2 Os1 Re1,1
Hf2 Mn1 Re1,1
In2 Na1 Pb1,1
Co2 Fe1 Se1,1
Ag2 Mn1 Se1,0
Os2 Re1 Si1,0
Ba2 Cu1 Ga1,0
Ca2 Mo1 Re1,0
Ba2 Hg1 Pt1,0
Ca2 Sb1 Tl1,1
Pd2 Sb1 W1,1
Fe2 Ge1 W1,1
Au2 Co1 Ge1,1
Ir2 Rh1 V1,1
As2 Pt1 Sr1,1
Nb2 Pt1 Sb1,0
Ag2 As1 Zr1,1
Fe2 Ge1 Si1,0
B2 Cl1 Pb1,1
Ni2 Ta1 Zn1,1
Os2 Re1 Ru1,1
Fe2 Mn1 Te1,1
B2 Ga1 Nb1,0
Ag2 Au1 Ga1,0
Cr2 Ir1 P1,0
Al2 Cd1 Pd1,1
Cr2 Ga1 Hg1,1
Au2 P1 W1,1
Ca2 Ge1 Na1,0
Co2 P1 Te1,0
As2 Ni1 Ti1,1
Ir2 Os1 W1,1
As2 In1 Li1,1
Hf2 Ru1 Ta1,1
Au2 Bi1 Cu1,1
B2 Hf1 Sr1,0
Ca2 Li1 Re1,1
Be2 Sn1 Ta1,1
Bi2 Ir1 Mn1,1
Ge2 Mn1 Sr1,1
Cd2 Ni1 Ta1,0
Cr2 K1 Li1,1
Be2 Cd1 In1,1
Hf2 Mg1 Sr1,0
Mn2 Ru1 W1,1
In2 P1 Ru1,1
Cd2 Fe1 Ta1,0
Ca2 Sb1 W1,1
Ir2 Mn1 Te1,0
Al2 Ta1 Ti1,1
Au2 Co1 Ta1,1
Mn2 Re1 Zr1,1
Ba2 Mn1 P1,0
Cd2 Hg1 Ti1,0
Ni2 Ru1 Si1,1
Ca2 V1 Zr1,0
Cr2 Nb1 Zr1,1
B2 Cl1 Tc1,1
Cl2 Tl1 W1,0
Cu2 Pt1 Tl1,1
Ag2 Nb1 Zr1,1
Ag2 Pt1 Sn1,1
Fe2 Mo1 Si1,0
Au2 Hg1 In1,1
Hf2 Li1 Rh1,1
Ag2 Fe1 Se1,0
Ag2 Co1 Cu1,0
P2 Re1 Sr1,1
In2 Mo1 Re1,1
Cl2 Ru1 Tc1,1
Al2 Hg1 Na1,0
Fe2 Ta1 Tl1,1
In2 Tl1 Zn1,1
Ag2 Cu1 Ru1,0
Au2 Co1 Cu1,1
Cr2 K1 Mg1,1
Rh2 Ru1 Te1,1
Fe2 Pd1 Se1,1
Ag2 Ni1 Pb1,1
Mn2 Pd1 Rh1,1
Cd2 Ga1 Te1,0
Cl2 Pd1 Tl1,0
Bi2 K1 Pb1,1
Co2 Hf1 Zr1,1
Hf2 Rh1 W1,1
Cu2 Ir1 Se1,1
Ag2 Al1 Cr1,1
Ge2 Ru1 Zr1,1
Co2 Ge1 Pd1,1
Ag2 Al1 Nb1,1
Cu2 Rh1 V1,1
Cu2 In1 Mo1,1
Cr2 Mo1 Sb1,0
As2 Ge1 Ta1,1
Br2 Ca1 Ti1,1
Br2 Na1 Sr1,0
Ni2 Ru1 Zr1,1
B2 Ni1 Os1,0
Ag2 Te1 Zr1,1
Co2 In1 P1,0
Ca2 Ru1 Sr1,0
B2 Zn1 Zr1,1
Ge2 Os1 Si1,1
Cd2 Fe1 Sr1,1
Be2 Mg1 Se1,1
Mo2 P1 Re1,1
Ba2 In1 Sn1,0
Au2 Ga1 Nb1,1
As2 Ir1 Li1,1
Bi2 Mg1 Rh1,1
Au2 Be1 Ni1,1
Al2 Os1 Pt1,0
Cr2 Mg1 Pd1,1
Re2 Ru1 Sn1,1
Cl2 Rh1 Sn1,1
Br2 Ir1 Mo1,1
Mo2 Sr1 Ta1,1
Mn2 Na1 Pd1,0
K2 Os1 Tl1,1
Bi2 Cd1 Li1,1
Cl2 Re1 Sb1,1
Au2 Ge1 Sr1,0
Mo2 W1 Zn1,1
Be2 Ca1 Sb1,1
Au2 Br1 Sb1,1
Au2 Cu1 Pb1,1
Na2 Nb1 Sr1,1
Cd2 Ru1 Tc1,0
Au2 Ru1 Se1,1
Cr2 Na1 Nb1,1
Fe2 P1 Ta1,1
Mo2 Se1 Zr1,1
Br2 Na1 Sb1,0
Be2 Ca1 Re1,0
Au2 In1 Re1,1
Be2 Ru1 Ta1,1
Cu2 Ge1 Zn1,1
Os2 Ru1 W1,1
Bi2 Cr1 Fe1,1
Co2 Pd1 Rh1,1
In2 K1 P1,0
As2 Cu1 Pb1,1
Ba2 Cd1 Zn1,1
Li2 Tc1 Te1,1
Al2 As1 Cd1,1
Au2 Ir1 Pb1,1
Ge2 Hf1 Re1,1
Li2 Sb1 W1,1
Ca2 Ti1 Zn1,1
Co2 Fe1 Os1,1
Cr2 Ge1 Hf1,1
Co2 Mo1 Rh1,1
Ag2 Fe1 Hf1,0
Ag2 Al1 Fe1,1
Br2 Nb1 Sr1,1
Ta2 Tc1 Te1,1
Hf2 In1 Pd1,1
Au2 Br1 Te1,1
Be2 Os1 Sr1,0
Au2 Br1 Zn1,0
B2 V1 Zn1,1
Ba2 Ni1 Si1,0
Pt2 Ru1 Ta1,1
Ir2 Se1 W1,1
Au2 K1 Mg1,0
As2 B1 Pt1,1
Cl2 K1 Mo1,0
Nb2 Tc1 V1,0
Ba2 Ca1 Sr1,1
Cd2 Tl1 Zn1,0
Au2 Cl1 Rh1,0
Fe2 Hf1 P1,1
Hf2 Se1 V1,1
Be2 Mo1 Tl1,1
Cr2 Fe1 Tl1,1
Bi2 Ge1 Rh1,1
Cl2 Mo1 Zn1,0
Ga2 Ge1 Tc1,1
Ag2 As1 Cl1,0
W2 Zn1 Zr1,1
Na2 Ru1 Te1,0
Ni2 Sb1 Zn1,1
Ni2 Pb1 Tc1,1
Ga2 K1 Se1,0
Cu2 Ge1 Pb1,1
Pd2 Ta1 Te1,1
Br2 Rh1 Zr1,1
Cu2 Hg1 Mn1,1
Fe2 K1 Si1,1
Hg2 Os1 Ta1,1
Ca2 Cu1 Te1,1
Bi2 In1 Tl1,1
Mg2 P1 Pb1,1
Re2 Rh1 Sr1,1
Cr2 Mo1 Pb1,1
Cr2 Pt1 Tl1,1
Cu2 Na1 V1,0
B2 Cr1 Pt1,0
K2 Pb1 S1,1
Mo2 Na1 Te1,1
Ir2 Ni1 Pt1,1
Bi2 Ca1 Ge1,1
Os2 Rh1 W1,1
Ba2 Se1 V1,0
Cr2 In1 Ta1,1
Mn2 Mo1 Re1,1
Ca2 Sr1 W1,0
Br2 Hf1 Zr1,1
Cu2 Fe1 Pt1,1
Ca2 Sn1 W1,0
Al2 Au1 In1,1
Cu2 Mg1 Pt1,1
Au2 Pt1 Sn1,1
Ag2 B1 K1,1
Cu2 Fe1 Te1,1
Cl2 Sn1 W1,1
Cd2 Mo1 Zn1,0
Al2 Bi1 Sr1,1
Al2 Co1 Na1,1
Pd2 Sr1 W1,0
Os2 Si1 Tc1,0
Cd2 Pd1 Pt1,0
Ge2 Rh1 Zn1,1
As2 Cd1 Mn1,1
Ni2 Sn1 Ti1,1
Mg2 Na1 Sb1,0
Hf2 Sr1 Tl1,1
As2 Br1 Ni1,1
Li2 Si1 Te1,1
Ni2 Tc1 Ti1,1
Fe2 Ir1 Zr1,1
Ni2 Pt1 V1,1
Au2 Pb1 Ru1,1
Co2 Mo1 Sn1,1
Br2 Si1 Zn1,0
Fe2 Ir1 Nb1,1
Ir2 Ni1 Zr1,1
Ag2 B1 Re1,0
Co2 Ni1 Ti1,1
Hf2 Se1 Tl1,1
Ni2 Rh1 Ti1,1
Mg2 Mn1 P1,1
Ge2 P1 Ti1,1
Re2 Sb1 Zn1,1
Au2 Se1 Sn1,1
B2 Mo1 Nb1,0
Pb2 Pt1 Sn1,1
Ba2 Br1 Re1,0
Co2 Cr1 Os1,1
Co2 Ir1 Ta1,1
Be2 Cd1 W1,0
Br2 Si1 W1,1
Cr2 Mo1 V1,1
Ca2 Nb1 Ta1,0
Pb2 Sb1 Tl1,1
Ni2 Ru1 Ti1,1
Ga2 Ni1 Tc1,1
Ba2 Li1 Mg1,1
